Subject,SubjectID,Corral,Subspecies,Sex,Age,Weight,Observation,Date,TimeofDay,Prox_event,Prox_duration,Close_event,Close_duration,Groom_event,Groom_duration,Dominance_tot,Submission_tot,Self_directed,Keck_actor,CSF_pg.mL,CSF_AVP_pg.mL,Plasma_pg.mL,Urine_pg.mL,Creatinine_mg.mL,uOT.Creatinine,DateOfCollection,GD_DOC,Blood_in_CSF,Plasma_Lysis
Broadway,96X,2,Hamadryas,Female,13.77,21.8,Broadway_1,2014-01-27T00:00:00Z,Morning,7,11.482,3,5.833,0,0,0,0,0,0,NA,NA,NA,104.04,0.85,122.26,5/8/2014,114,Absent,Absent
Broadway,96X,2,Hamadryas,Female,13.77,21.8,Broadway_2,2014-01-28T00:00:00Z,Morning,7,4.802,4,12.149,5,4.699,13,9,2,4,NA,NA,NA,104.04,0.85,122.26,5/8/2014,114,Absent,Absent
Broadway,96X,2,Hamadryas,Female,13.77,21.8,Broadway_3,2014-01-29T00:00:00Z,Morning,10,13.666,1,0.083,0,0,0,0,0,0,NA,NA,NA,104.04,0.85,122.26,5/8/2014,114,Absent,Absent
Broadway,96X,2,Hamadryas,Female,13.77,21.8,Broadway_4,2014-01-30T00:00:00Z,Afternoon,12,7.151,0,0,0,0,0,0,0,0,NA,NA,NA,104.04,0.85,122.26,5/8/2014,114,Absent,Absent
Broadway,96X,2,Hamadryas,Female,13.77,21.8,Broadway_5,2014-01-31T00:00:00Z,Morning,12,9.182,3,1.334,0,0,0,0,8,0,NA,NA,NA,104.04,0.85,122.26,5/8/2014,114,Absent,Absent
Broadway,96X,2,Hamadryas,Female,13.77,21.8,Broadway_6,2014-02-03T00:00:00Z,Morning,14,4.85,1,9.683,0,0,0,0,5,0,NA,NA,NA,104.04,0.85,122.26,5/8/2014,114,Absent,Absent
Broadway,96X,2,Hamadryas,Female,13.77,21.8,Broadway_7,2014-02-04T00:00:00Z,Afternoon,3,7.649,0,0.917,0,0,0,1,7,0,NA,NA,NA,104.04,0.85,122.26,5/8/2014,114,Absent,Absent
Broadway,96X,2,Hamadryas,Female,13.77,21.8,Broadway_8,2014-02-05T00:00:00Z,Afternoon,14,7.55,2,4.25,0,0,0,3,3,2,NA,NA,NA,104.04,0.85,122.26,5/8/2014,114,Absent,Absent
Broadway,96X,2,Hamadryas,Female,13.77,21.8,Broadway_9,2014-02-06T00:00:00Z,Morning,3,1.633,0,0.067,0,0,0,3,4,3,NA,NA,NA,104.04,0.85,122.26,5/8/2014,114,Absent,Absent
Broadway,96X,2,Hamadryas,Female,13.77,21.8,Broadway_10,2014-02-10T00:00:00Z,Morning,12,8.599,2,5.684,1,0.183,0,3,6,3,NA,NA,NA,104.04,0.85,122.26,5/8/2014,114,Absent,Absent
